Date : 2025-10-30 09:36:59
Directory : d:\FDU_files\Tao_group\kiwi\MyKiwi
Total : 442 files,  49118 codes, 1165 comments, 6753 blanks, all 57036 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        298 |     23,341 |      1,019 |      5,705 |     30,065 |
| JSON     |        100 |     22,770 |          0 |          8 |     22,778 |
| Python   |         15 |      1,790 |         66 |        465 |      2,321 |
| Markdown |         20 |      1,051 |          0 |        536 |      1,587 |
| XMake    |          1 |         97 |         80 |         12 |        189 |
| GLSL     |          8 |         69 |          0 |         27 |         96 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |        442 |     49,118 |      1,165 |      6,753 |     57,036 |
| . (Files)                                                                                                   |          3 |        231 |         80 |         90 |        401 |
| algorithm                                                                                                   |         25 |      2,153 |         59 |        750 |      2,962 |
| algorithm (Files)                                                                                           |          1 |         57 |          0 |         19 |         76 |
| algorithm\bus_routing                                                                                       |         10 |      1,159 |         38 |        336 |      1,533 |
| algorithm\bus_routing (Files)                                                                               |          2 |        151 |          0 |         56 |        207 |
| algorithm\bus_routing\FPGA                                                                                  |          3 |        510 |         11 |        136 |        657 |
| algorithm\bus_routing\asic                                                                                  |          4 |        491 |         27 |        141 |        659 |
| algorithm\bus_routing\comparison                                                                            |          1 |          7 |          0 |          3 |         10 |
| algorithm\bus_routing\comparison\case7                                                                      |          1 |          7 |          0 |          3 |         10 |
| algorithm\incremental_routing                                                                               |         13 |        841 |          9 |        356 |      1,206 |
| algorithm\incremental_routing (Files)                                                                       |          2 |        165 |          0 |         97 |        262 |
| algorithm\incremental_routing\2025.10.03 test                                                               |          1 |         80 |          0 |         48 |        128 |
| algorithm\incremental_routing\2025.10.08 test                                                               |          1 |         12 |          0 |          6 |         18 |
| algorithm\incremental_routing\2025.10.09 test                                                               |          1 |         28 |          0 |         18 |         46 |
| algorithm\incremental_routing\2025.10.1 test                                                                |          1 |         82 |          0 |         50 |        132 |
| algorithm\incremental_routing\2025.10.11test                                                                |          1 |        150 |          0 |         29 |        179 |
| algorithm\incremental_routing\2025.10.17 test                                                               |          1 |         21 |          0 |         20 |         41 |
| algorithm\incremental_routing\2025.10.24 test                                                               |          1 |         16 |          0 |         10 |         26 |
| algorithm\incremental_routing\2025.10.27 test                                                               |          1 |         19 |          0 |         16 |         35 |
| algorithm\incremental_routing\test1_high_fanout_maze_opti                                                   |          3 |        268 |          9 |         62 |        339 |
| algorithm\pathfinder                                                                                        |          1 |         96 |         12 |         39 |        147 |
| document                                                                                                    |          6 |        510 |          7 |        159 |        676 |
| document\config                                                                                             |          4 |        415 |          7 |         88 |        510 |
| document\gui                                                                                                |          2 |         95 |          0 |         71 |        166 |
| resource                                                                                                    |          8 |         69 |          0 |         27 |         96 |
| resource\shader                                                                                             |          8 |         69 |          0 |         27 |         96 |
| source                                                                                                      |        282 |     22,435 |        976 |      5,449 |     28,860 |
| source\algo                                                                                                 |         59 |      5,916 |        227 |      1,345 |      7,488 |
| source\algo (Files)                                                                                         |          2 |        142 |          3 |         42 |        187 |
| source\algo\netbuilder                                                                                      |          2 |        326 |         33 |         56 |        415 |
| source\algo\placer                                                                                          |          5 |        194 |          6 |         57 |        257 |
| source\algo\placer (Files)                                                                                  |          3 |         47 |          0 |         16 |         63 |
| source\algo\placer\sa                                                                                       |          2 |        147 |          6 |         41 |        194 |
| source\algo\router                                                                                          |         50 |      5,254 |        185 |      1,190 |      6,629 |
| source\algo\router (Files)                                                                                  |          5 |        605 |         27 |        122 |        754 |
| source\algo\router\command_mode                                                                             |         18 |        497 |         16 |        177 |        690 |
| source\algo\router\command_mode (Files)                                                                     |          3 |        133 |          2 |         44 |        179 |
| source\algo\router\command_mode\command                                                                     |         15 |        364 |         14 |        133 |        511 |
| source\algo\router\common                                                                                   |         10 |      1,790 |        115 |        336 |      2,241 |
| source\algo\router\common (Files)                                                                           |          2 |         43 |          4 |         21 |         68 |
| source\algo\router\common\allocate                                                                          |          2 |        338 |         17 |         71 |        426 |
| source\algo\router\common\maze                                                                              |          6 |      1,409 |         94 |        244 |      1,747 |
| source\algo\router\incremental                                                                              |         17 |      2,362 |         27 |        555 |      2,944 |
| source\algo\router\incremental\bound_bits                                                                   |          8 |        463 |          3 |        159 |        625 |
| source\algo\router\incremental\maze                                                                         |          2 |        837 |         13 |        156 |      1,006 |
| source\algo\router\incremental\recorders                                                                    |          7 |      1,062 |         11 |        240 |      1,313 |
| source\app                                                                                                  |          6 |        225 |          5 |         55 |        285 |
| source\app (Files)                                                                                          |          2 |        143 |          5 |         29 |        177 |
| source\app\cli                                                                                              |          2 |         55 |          0 |         15 |         70 |
| source\app\gui                                                                                              |          2 |         27 |          0 |         11 |         38 |
| source\circuit                                                                                              |         33 |      3,384 |         49 |        741 |      4,174 |
| source\circuit (Files)                                                                                      |          2 |        478 |          9 |        121 |        608 |
| source\circuit\connection                                                                                   |          4 |        189 |          0 |         45 |        234 |
| source\circuit\export                                                                                       |          2 |         35 |          0 |         12 |         47 |
| source\circuit\net                                                                                          |         19 |      2,166 |         19 |        434 |      2,619 |
| source\circuit\net (Files)                                                                                  |          3 |        154 |         12 |         39 |        205 |
| source\circuit\net\types                                                                                    |         16 |      2,012 |          7 |        395 |      2,414 |
| source\circuit\path                                                                                         |          2 |        377 |         18 |         79 |        474 |
| source\circuit\topdie                                                                                       |          2 |         37 |          0 |         15 |         52 |
| source\circuit\topdieinst                                                                                   |          2 |        102 |          3 |         35 |        140 |
| source\global                                                                                               |         24 |        796 |          2 |        211 |      1,009 |
| source\global\debug                                                                                         |          7 |        396 |          0 |         95 |        491 |
| source\global\std                                                                                           |         11 |        291 |          0 |         78 |        369 |
| source\global\utility                                                                                       |          6 |        109 |          2 |         38 |        149 |
| source\hardware                                                                                             |         30 |      2,349 |         22 |        615 |      2,986 |
| source\hardware (Files)                                                                                     |          4 |        323 |         10 |         87 |        420 |
| source\hardware\bump                                                                                        |          4 |        154 |          0 |         48 |        202 |
| source\hardware\cob                                                                                         |          9 |        696 |          2 |        177 |        875 |
| source\hardware\tob                                                                                         |          9 |        975 |          9 |        244 |      1,228 |
| source\hardware\track                                                                                       |          4 |        201 |          1 |         59 |        261 |
| source\parse                                                                                                |         24 |      1,995 |        109 |        403 |      2,507 |
| source\parse\comparator                                                                                     |          2 |         89 |          2 |         27 |        118 |
| source\parse\reader                                                                                         |         12 |      1,102 |        102 |        208 |      1,412 |
| source\parse\reader (Files)                                                                                 |          4 |        280 |         61 |         57 |        398 |
| source\parse\reader\config                                                                                  |          6 |        335 |         33 |         83 |        451 |
| source\parse\reader\controlbits                                                                             |          2 |        487 |          8 |         68 |        563 |
| source\parse\writer                                                                                         |         10 |        804 |          5 |        168 |        977 |
| source\parse\writer (Files)                                                                                 |          4 |        312 |          5 |         67 |        384 |
| source\parse\writer\registers                                                                               |          6 |        492 |          0 |        101 |        593 |
| source\serde                                                                                                |         14 |        962 |         32 |        236 |      1,230 |
| source\serde (Files)                                                                                        |          3 |         86 |          9 |         24 |        119 |
| source\serde\json                                                                                           |         11 |        876 |         23 |        212 |      1,111 |
| source\widget                                                                                               |         92 |      6,808 |        530 |      1,843 |      9,181 |
| source\widget (Files)                                                                                       |          4 |        345 |         23 |        116 |        484 |
| source\widget\frame                                                                                         |          8 |        279 |          4 |         74 |        357 |
| source\widget\layout                                                                                        |         20 |      1,101 |         60 |        305 |      1,466 |
| source\widget\layout (Files)                                                                                |          8 |        557 |         21 |        137 |        715 |
| source\widget\layout\item                                                                                   |         12 |        544 |         39 |        168 |        751 |
| source\widget\schematic                                                                                     |         31 |      2,627 |         70 |        671 |      3,368 |
| source\widget\schematic (Files)                                                                             |         10 |      1,010 |         13 |        264 |      1,287 |
| source\widget\schematic\info                                                                                |          8 |        499 |         19 |        124 |        642 |
| source\widget\schematic\item                                                                                |         13 |      1,118 |         38 |        283 |      1,439 |
| source\widget\setting                                                                                       |          2 |         16 |          0 |          7 |         23 |
| source\widget\view2d                                                                                        |         17 |        829 |        208 |        244 |      1,281 |
| source\widget\view2d (Files)                                                                                |          6 |        306 |         72 |         88 |        466 |
| source\widget\view2d\detail                                                                                 |          3 |        295 |         90 |         76 |        461 |
